qtr,clock,playerid,playername,passing_yds,rushing_yds,receiving_yds,receiving_rec,passing_tds,rushing_tds,receiving_tds
1,15:00,00-0026143,M.Ryan,0,4,0,0,0,0,0
1,15:00,00-0031075,A.Blue,0,6,0,0,0,0,0
1,15:00,00-0027966,M.Ingram,0,2,0,0,0,0,0
1,15:00,00-0030287,A.Ellington,0,-1,0,0,0,0,0
1,15:00,00-0029668,A.Luck,0,4,0,0,0,0,0
1,14:55,00-0031237,T.Bridgewater,0,1,0,0,0,0,0
1,14:54,00-0029263,R.Wilson,5,0,0,0,0,0,0
1,14:54,00-0031257,P.Richardson,0,0,5,1,0,0,0
1,14:54,00-0020679,S.Hill,5,0,0,0,0,0,0
1,14:54,00-0030525,T.Austin,0,0,5,1,0,0,0
1,14:53,00-0023459,A.Rodgers,8,0,0,0,0,0,0
1,14:53,00-0026176,J.Nelson,0,0,8,1,0,0,0
1,14:53,00-0030496,L.Bell,0,12,0,0,0,0,0
1,14:52,00-0023500,F.Gore,0,14,0,0,0,0,0
1,14:51,00-0029384,B.Rainey,0,-1,0,0,0,0,0
1,14:47,00-0029701,R.Tannehill,13,0,0,0,0,0,0
1,14:47,00-0029615,L.Miller,0,0,13,1,0,0,0
1,14:34,00-0028002,R.Cobb,0,0,3,1,0,0,0
1,14:34,00-0023459,A.Rodgers,3,0,0,0,0,0,0
1,14:31,00-0027966,M.Ingram,0,3,0,0,0,0,0
1,14:27,00-0029510,J.Grimes,0,3,0,0,0,0,0
1,14:26,00-0029701,R.Tannehill,2,0,0,0,0,0,0
1,14:26,00-0026901,M.Wallace,0,0,2,1,0,0,0
1,14:25,00-0022736,S.Jackson,0,2,0,0,0,0,0
1,14:24,00-0031391,T.Mason,0,2,0,0,0,0,0
1,14:20,00-0025430,D.Stanton,12,0,0,0,0,0,0
1,14:20,00-0031051,Jo. Brown,0,0,12,1,0,0,0
1,14:17,00-0031376,J.McKinnon,0,6,0,0,0,0,0
1,14:17,00-0025399,M.Lynch,0,3,0,0,0,0,0
1,14:17,00-0029675,T.Richardson,0,1,0,0,0,0,0
1,14:13,00-0022942,P.Rivers,22,0,0,0,1,0,0
1,14:13,00-0022414,M.Floyd,0,0,22,1,0,0,1
1,14:11,00-0031045,C.Hyde,0,5,0,0,0,0,0
1,14:02,00-0026144,D.McFadden,0,2,0,0,0,0,0
1,13:58,00-0020531,D.Brees,16,0,0,0,0,0,0
1,13:58,00-0030085,K.Stills,0,0,16,1,0,0,0
1,13:52,00-0023459,A.Rodgers,64,0,0,0,0,0,0
1,13:52,00-0026176,J.Nelson,0,0,64,1,0,0,0
1,13:50,00-0020679,S.Hill,33,0,0,0,0,0,0
1,13:50,00-0027006,K.Britt,0,0,33,1,0,0,0
1,13:50,00-0021206,J.McCown,16,0,0,0,0,0,0
1,13:50,00-0023496,V.Jackson,0,0,16,1,0,0,0
1,13:49,00-0029701,R.Tannehill,10,0,0,0,0,0,0
1,13:49,00-0031382,J.Landry,0,0,10,1,0,0,0
1,13:45,00-0030496,L.Bell,0,19,0,0,0,0,0
1,13:43,00-0026143,M.Ryan,3,0,0,0,0,0,0
1,13:43,00-0023462,R.White,0,0,3,1,0,0,0
1,13:41,00-0025430,D.Stanton,5,0,0,0,0,0,0
1,13:41,00-0031044,T.Niklas,0,0,5,1,0,0,0
1,13:40,00-0027966,M.Ingram,0,3,0,0,0,0,0
1,13:33,00-0029668,A.Luck,2,0,0,0,0,0,0
1,13:33,00-0025637,A.Bradshaw,0,0,2,1,0,0,0
1,13:32,00-0027974,C.Kaepernick,6,0,0,0,0,0,0
1,13:32,00-0022084,A.Boldin,0,0,6,1,0,0,0
1,13:24,00-0029384,B.Rainey,0,2,0,0,0,0,0
